69 67 69 => 62 0.5
69 67 69 => 67 0.5
72 => 76 0.2
72 => 74 0.2
72 => 71 0.6
62 71 => 72 1.0
71 67 => 64 1.0
73 71 => 67 1.0
70 => 71 1.0
69 71 => 69 0.25
69 71 => 74 0.75
70 71 => 74 0.5
70 71 => 72 0.5
76 => 74 1.0
71 74 => 76 0.5
71 74 => 72 0.25
71 74 => 71 0.25
67 => 69 0.777777777778
67 => 64 0.222222222222
76 74 => 67 1.0
64 => 62 1.0
69 67 => 69 0.666666666667
69 67 => 64 0.333333333333
74 71 => 69 1.0
62 => 71 0.25
62 => 67 0.75
74 69 => 73 1.0
73 => 71 1.0
74 => 76 0.181818181818
74 => 67 0.272727272727
74 => 72 0.0909090909091
74 => 71 0.363636363636
74 => 69 0.0909090909091
69 => 62 0.0666666666667
69 => 74 0.0666666666667
69 => 73 0.0666666666667
69 => 72 0.133333333333
69 => 71 0.4
69 => 67 0.266666666667
71 => 67 0.111111111111
71 => 69 0.388888888889
71 => 74 0.277777777778
71 => 72 0.111111111111
71 => 70 0.111111111111
