Source	Target	Path	Support	Confidence
77	66	77	1220	0.1125876707272056
77	66	87>77>76>77	15	0.08620689655172414
77	66	65>75>76>77	30	0.17964071856287425
77	66	76>77>76>77	22	0.1301775147928994
77	66	75>76>66>76>77	11	0.22916666666666663
77	66	57>58>68>67>77	10	0.20408163265306123
77	66	88>89>88>78>77	10	0.2127659574468085
77	66	66>76>77>76>77	16	0.3137254901960784
77	66	88>98>88>87>77	13	0.2653061224489796
77	77	77	519	0.047895902547065335
77	77	59>69>68>67>77	16	0.32653061224489793
77	77	87>88>87>77	11	0.088
77	77	76>77	1	0.00036258158085569254
77	77	76>75>76>77	26	0.15950920245398773
77	77	75>76>77	39	0.05918057663125948
77	77	87>77>76>77	31	0.1781609195402299
77	77	77>76>77	9	0.013846153846153845
77	77	8>98>88>87>77	12	0.3157894736842105
77	77	57>47>57>67>77	11	0.21153846153846156
77	77	74>75>76>77	18	0.1258741258741259
77	77	87>86>76>77	25	0.15060240963855423
77	77	77>87>86>87>77	13	0.29545454545454547
77	77	57>67>57>67>77	14	0.2916666666666667
77	77	76>66>67>77	18	0.10778443113772455
77	77	65>75>76>77	23	0.1377245508982036
77	77	67>77>76>77	17	0.11486486486486486
77	77	76>77>76>77	22	0.1301775147928994
77	77	79>78>68>67>77	10	0.18181818181818182
77	77	78>68>67>77	23	0.12365591397849464
77	77	78>77>67>77	34	0.21794871794871792
77	77	86>85>86>87>77	14	0.3333333333333333
77	77	86>96>86>87>77	13	0.35135135135135137
77	77	78>77>78>77	29	0.16571428571428573
77	77	65>66>76>77	28	0.16470588235294117
77	77	85>86>76>77	31	0.18235294117647058
77	77	77>78>88>78>77	14	0.19444444444444445
77	77	48>47>57>67>77	16	0.41025641025641024
77	77	96>86>76>66>67>77	10	0.5263157894736842
77	77	86>76>66>67>77	10	0.20408163265306123
77	77	88>78>77>67>77	11	0.3548387096774194
77	77	80>89>79>78>77	15	0.36585365853658536
77	77	66>76>86>87>77	16	0.42105263157894735
77	77	66>56>57>67>77	18	0.36
77	77	56>57>67>77	28	0.15217391304347827
77	77	68>58>68>78>77	10	0.29411764705882354
77	77	86>76>66>76>77	10	0.37037037037037035
77	77	75>76>77>67>77	12	0.3157894736842105
77	77	55>65>66>67>77	13	0.3170731707317073
77	77	75>65>66>67>77	16	0.3018867924528302
77	77	88>78>88>87>77	10	0.3125
77	77	75>85>86>87>77	13	0.30952380952380953
77	77	79>78>77>76>77	14	0.30434782608695654
77	77	88>87>77>78>77	13	0.32500000000000007
77	77	57>67>68>78>77	12	0.3
77	77	68>78>77>78>77	22	0.43137254901960786
77	77	99>98>88>87>77	12	0.2926829268292683
77	77	77>87>77>87>77	14	0.30434782608695654
77	77	80>89>88>78>77	10	0.3125
77	77	88>78>88>78>77	16	0.3333333333333333
77	77	69>79>78>77	29	0.2148148148148148
77	77	66>67>66>67>77	15	0.3333333333333333
77	77	66>67>77>76>77	10	0.2857142857142857
77	77	77>67>77>87>77	13	0.34210526315789475
77	77	88>78>68>78>77	16	0.36363636363636365
77	77	88>87>88>87>77	12	0.2857142857142857
77	77	57>58>68>78>77	18	0.2857142857142857
77	77	80>70>79>78>77	15	0.38461538461538464
77	77	8>98>97>87>77	13	0.34210526315789475
77	77	79>89>79>78>77	13	0.28888888888888886
77	77	97>7>97>87>77	13	0.28888888888888886
77	77	68>69>68>78>77	16	0.35555555555555557
77	77	46>56>57>67>77	10	0.23255813953488375
77	77	60>69>79>78>77	12	0.375
77	77	79>70>79>78>77	12	0.3157894736842105
77	77	86>76>77>87>77	10	0.3125
77	77	77>67>68>78>77	13	0.32500000000000007
77	77	66>56>66>76>77	12	0.3
77	77	66>67>57>67>77	13	0.3023255813953488
77	77	77>78>88>87>77	17	0.2833333333333333
77	77	77>76>77>87>77	15	0.38461538461538464
77	77	65>66>67>68>78>77	11	0.39285714285714285
77	77	97>98>97>87>77	10	0.35714285714285715
77	77	77>78>77>87>77	10	0.3225806451612903
77	77	68>67>77>67>77	12	0.3157894736842105
77	77	57>67>66>67>77	11	0.3142857142857143
77	77	88>89>88>87>77	15	0.3333333333333333
77	86	77	1179	0.10880398671096345
77	86	69>68>67>77	13	0.07647058823529412
77	86	85>86>87>77	15	0.07936507936507936
77	86	86>87>97>87>77	10	0.20833333333333334
77	86	76>75>76>77	32	0.19631901840490798
77	86	57>67>77>87>77	12	0.2222222222222222
